center,linkers,porphyrins,gap,homo,lumo,energy
,6,5,0.795856869038,-9.4107,-0.3165885,"(-354.924809351003, 'a.u.')"
Zn+2,6,5,0.906522230527,-9.5177,-8.6112,"(-353.117606050091, 'a.u.')"
Fe+2,6,5,0.241023372345,-8.9983,-0.3218249,"(-365.964413487908, 'a.u.')"
Co+2,6,5,0.000546685518,-9.4571,-0.3475238,"(-368.644702868955, 'a.u.')"
Cu+2,6,5,0.001291991446,-8.7878,-0.3228964,"(-369.720567254365, 'a.u.')"
,2,6,0.743952643683,-9.3522,-0.3163475,"(-385.992216082659, 'a.u.')"
Zn+2,2,6,0.8810156995,-9.4822,-8.6012,"(-383.823047119423, 'a.u.')"
Fe+2,2,6,0.241195287373,-8.9509,-0.3200763,"(-399.239898839147, 'a.u.')"
Ni+2,2,6,0.960517917408,-9.6099,-8.6494,"(-409.396883242763, 'a.u.')"
Cu+2,2,6,0.00096568989,-8.7609,-0.3219233,"(-403.747379136972, 'a.u.')"
,4,6,0.737519116055,-9.3702,-0.317247,"(-407.117193597748, 'a.u.')"
Zn+2,4,6,0.860155897655,-9.4885,-0.317084,"(-404.948431181919, 'a.u.')"
Fe+2,4,6,0.242358292035,-8.9804,-0.3211179,"(-420.364524511302, 'a.u.')"
Ni+2,4,6,0.940117961492,-9.6049,-8.6648,"(-430.521480239512, 'a.u.')"
Cu+2,4,6,9.8724426e-05,-8.7819,-0.3227264,"(-424.872382028044, 'a.u.')"
,6,6,0.769321583218,-9.4039,-0.3173154,"(-428.248094165907, 'a.u.')"
Zn+2,6,6,0.881439423073,-9.5118,-8.6303,"(-426.079352426172, 'a.u.')"
Fe+2,6,6,0.149614815756,-8.9787,-0.3244641,"(-441.490272476591, 'a.u.')"
Ni+2,6,6,0.954931615941,-9.6176,-8.6626,"(-451.652112604197, 'a.u.')"
Co+2,6,6,5.6982369e-05,-9.4614,-0.3476976,"(-444.711828104507, 'a.u.')"
Cu+2,6,6,2.9028584e-05,-8.7949,-0.3232067,"(-446.003154131035, 'a.u.')"
